suite_id,baseline_condition,condition,source_index,difficulty,title,baseline_success,condition_success,outcome
suite_e,baseline,sentinel_helpers,1,hard,**Problem: Generate MD5 Hash of a String**,1,1,same
suite_e,baseline,sentinel_helpers,2,medium,**Problem: Find Insert Position in Sorted Array**,1,1,same
suite_e,baseline,sentinel_helpers,3,hard,**Knight's Possible Moves on a Chessboard**,1,1,same
suite_e,baseline,sentinel_helpers,4,hard,**Problem: Increasing Triplet Subsequence**,1,1,same
suite_e,baseline,sentinel_helpers,5,easy,**Problem: Find the Single Non-Duplicate Element in a Sorted Array**,1,1,same
suite_e,baseline,sentinel_helpers,6,hard,**Excel Column Title Conversion in Elixir**,1,1,same
suite_e,baseline,sentinel_helpers,7,easy,Test case 1,1,1,same
suite_e,baseline,sentinel_helpers,8,medium,Test case 1: Simple binary tree with depth 2,1,1,same
suite_e,baseline,sentinel_helpers,9,medium,"Test case 1: [2, 4, 3] + [5, 6, 4] = [7, 0, 8]",1,1,same
suite_e,baseline,sentinel_helpers,10,hard,**Problem: Adjust Color Luminosity**,1,1,same
suite_e,baseline,sentinel_helpers,11,hard,**Problem: Counting Integer Partitions**,0,0,same
suite_e,baseline,sentinel_helpers,12,hard,**Problem Description:**,1,1,same
suite_e,baseline,sentinel_helpers,13,hard,**Programming Problem: Alice and Bob's Number Game**,1,1,same
suite_e,baseline,sentinel_helpers,14,easy,**Problem: Simulate Socket Communication Error Handling**,1,1,same
suite_e,baseline,sentinel_helpers,15,medium,Test case 1: Simple linear graph,1,1,same
suite_e,baseline,sentinel_helpers,16,hard,**Problem: Counting Bipartite Graphs**,1,1,same
suite_e,baseline,sentinel_helpers,17,hard,Test case 1: Single synthetic chessboard image,1,0,baseline_only
suite_e,baseline,sentinel_helpers,18,hard,Test Case 1,1,1,same
suite_e,baseline,sentinel_helpers,19,medium,Test case 1: Simple tier calculation,1,1,same
suite_e,baseline,sentinel_helpers,20,hard,Implement a 1D Kalman Filter in Elixir that can track and estimate the state of a system over time. The filter should handle both prediction (based on system dynamics) and correction (based on measurements) steps.,1,1,same
suite_e,baseline,sentinel_helpers,21,medium,Test case 1: Basic substitution,1,1,same
suite_e,baseline,sentinel_helpers,22,hard,Functions to Implement:,1,1,same
suite_e,baseline,sentinel_helpers,23,hard,Input Format,1,1,same
suite_e,baseline,sentinel_helpers,24,medium,**Problem Description:**,1,1,same
suite_e,baseline,sentinel_helpers,25,hard,**Problem: Minimum Refueling Stops**,1,1,same
suite_e,baseline,sentinel_helpers,26,medium,Test Case 1: Small memory with sequential access,0,0,same
suite_e,baseline,sentinel_helpers,27,hard,**Problem: Reorganize String**,1,0,baseline_only
suite_e,baseline,sentinel_helpers,28,medium,Test Case 1,1,1,same
suite_e,baseline,sentinel_helpers,29,hard,**Kubernetes Object Management Problem in Elixir**,1,1,same
suite_e,baseline,sentinel_helpers,30,medium,Your implementation here,1,1,same
suite_e,baseline,sentinel_helpers,31,easy,Test case 1: Both arms,1,1,same
suite_e,baseline,sentinel_helpers,32,hard,Your implementation here,0,0,same
suite_e,baseline,sentinel_helpers,33,hard,**Problem: Decoding Ways with Wildcards**,1,1,same
suite_e,baseline,sentinel_helpers,34,hard,**Problem: Anagram Checker**,1,1,same
suite_e,baseline,sentinel_helpers,35,medium,**Ball Game Simulation**,0,1,condition_only
suite_e,baseline,sentinel_helpers,36,hard,**Minimum Jumps to Reach the End of an Array**,1,1,same
suite_e,baseline,sentinel_helpers,37,hard,Example 1: Basic case with country and continent,1,1,same
suite_e,baseline,sentinel_helpers,38,hard,Test case where the API call fails due to network/resolution error,1,1,same
suite_e,baseline,sentinel_helpers,39,hard,Input:,1,1,same
suite_e,baseline,sentinel_helpers,40,hard,Test case 1: Simple binary tree,0,0,same
suite_e,baseline,sentinel_helpers,41,hard,**Problem: Validate Magic: The Gathering Card Names in Elixir**,1,1,same
suite_e,baseline,sentinel_helpers,42,hard,**Problem: Count Unique Modulo Results**,1,1,same
suite_e,baseline,sentinel_helpers,43,hard,**Problem Description:**,1,1,same
suite_e,baseline,sentinel_helpers,44,medium,Function Names,0,1,condition_only
suite_e,baseline,sentinel_helpers,45,hard,**Problem Description:**,1,1,same
suite_e,baseline,sentinel_helpers,46,hard,**Problem: Count Fair and Square Numbers**,1,1,same
suite_e,baseline,sentinel_helpers,47,hard,**Problem: Counting Islands in a Grid**,1,1,same
suite_e,baseline,sentinel_helpers,48,hard,**Problem: Transform 3D Coordinates**,1,1,same
suite_e,baseline,sentinel_helpers,49,hard,**Problem: Revoke Security Group Access**,1,1,same
suite_e,baseline,sentinel_helpers,50,hard,Test Case 1,1,1,same
suite_e,baseline,sentinel_helpers,51,hard,**Elixir GUI Layout Configuration**,0,0,same
suite_e,baseline,sentinel_helpers,52,hard,Test case 1: Simple string comparison,1,1,same
suite_e,baseline,sentinel_helpers,53,hard,Your implementation here,1,1,same
suite_e,baseline,sentinel_helpers,54,hard,**Problem: Minimum Refueling Stops**,0,0,same
suite_e,baseline,sentinel_helpers,55,hard,**Problem: Parse RISC-V OVPsim Execution Logs**,1,1,same
suite_e,baseline,sentinel_helpers,56,medium,Test case 1: Simple BST with one mode,0,0,same
suite_e,baseline,sentinel_helpers,57,hard,**Problem: Count Digit One**,1,1,same
suite_e,baseline,sentinel_helpers,58,hard,**Problem: Handling URL Metadata Fetching in Elixir**,1,1,same
suite_e,baseline,sentinel_helpers,59,hard,Test case 1: X wins horizontally (top row),1,1,same
suite_e,baseline,sentinel_helpers,60,hard,**Problem: Mock ZeroMQ Client in Elixir**,1,1,same
