suite_id,baseline_condition,condition,source_index,difficulty,title,baseline_success,condition_success,outcome
suite_a,full_docs,minimal_docs,1,hard,**Problem: Generate MD5 Hash of a String**,1,0,baseline_only
suite_a,full_docs,minimal_docs,2,medium,**Problem: Find Insert Position in Sorted Array**,1,1,same
suite_a,full_docs,minimal_docs,3,hard,**Knight's Possible Moves on a Chessboard**,1,0,baseline_only
suite_a,full_docs,minimal_docs,4,hard,**Problem: Increasing Triplet Subsequence**,1,1,same
suite_a,full_docs,minimal_docs,5,easy,**Problem: Find the Single Non-Duplicate Element in a Sorted Array**,1,1,same
suite_a,full_docs,minimal_docs,6,hard,**Excel Column Title Conversion in Elixir**,1,0,baseline_only
suite_a,full_docs,minimal_docs,7,easy,Test case 1,1,0,baseline_only
suite_a,full_docs,minimal_docs,8,medium,Test case 1: Simple binary tree with depth 2,1,1,same
suite_a,full_docs,minimal_docs,9,medium,"Test case 1: [2, 4, 3] + [5, 6, 4] = [7, 0, 8]",1,1,same
suite_a,full_docs,minimal_docs,10,hard,**Problem: Adjust Color Luminosity**,1,0,baseline_only
suite_a,full_docs,minimal_docs,11,hard,**Problem: Counting Integer Partitions**,0,0,same
suite_a,full_docs,minimal_docs,12,hard,**Problem Description:**,1,0,baseline_only
suite_a,full_docs,minimal_docs,13,hard,**Programming Problem: Alice and Bob's Number Game**,1,0,baseline_only
suite_a,full_docs,minimal_docs,14,easy,**Problem: Simulate Socket Communication Error Handling**,1,1,same
suite_a,full_docs,minimal_docs,15,medium,Test case 1: Simple linear graph,1,0,baseline_only
suite_a,full_docs,minimal_docs,16,hard,**Problem: Counting Bipartite Graphs**,1,1,same
suite_a,full_docs,minimal_docs,17,hard,Test case 1: Single synthetic chessboard image,1,0,baseline_only
suite_a,full_docs,minimal_docs,18,hard,Test Case 1,1,1,same
suite_a,full_docs,minimal_docs,19,medium,Test case 1: Simple tier calculation,1,0,baseline_only
suite_a,full_docs,minimal_docs,20,hard,Implement a 1D Kalman Filter in Elixir that can track and estimate the state of a system over time. The filter should handle both prediction (based on system dynamics) and correction (based on measurements) steps.,0,0,same
suite_a,full_docs,minimal_docs,21,medium,Test case 1: Basic substitution,1,1,same
suite_a,full_docs,minimal_docs,22,hard,Functions to Implement:,1,1,same
suite_a,full_docs,minimal_docs,23,hard,Input Format,1,0,baseline_only
suite_a,full_docs,minimal_docs,24,medium,**Problem Description:**,1,1,same
suite_a,full_docs,minimal_docs,25,hard,**Problem: Minimum Refueling Stops**,1,0,baseline_only
suite_a,full_docs,minimal_docs,26,medium,Test Case 1: Small memory with sequential access,1,0,baseline_only
